date,strategy_cumulative,buy_hold_cumulative
2024-08-08,1.0253579514645257,1.2848999540654014
2024-08-09,1.0253579514645257,1.3003004413000856
2024-08-12,1.0253579514645257,1.301643286158222
2024-08-13,1.0253579514645257,1.2871147424011693
2024-08-14,1.0253579514645257,1.295724377007337
2024-08-15,1.0253579514645257,1.3193928958200694
2024-08-16,1.0253579514645257,1.320161998298482
2024-08-19,1.0253579514645257,1.32499808309763
2024-08-20,1.0253579514645257,1.3219027505675327
2024-08-21,1.0253579514645257,1.308059260496614
2024-08-22,1.0253579514645257,1.3244461273548471
2024-08-23,1.0253579514645257,1.3273484698217437
2024-08-26,1.0253579514645257,1.3275585021492666
2024-08-27,1.0253579514645257,1.3202400859877033
2024-08-28,1.0253579514645257,1.3335949315979496
2024-08-29,1.0253579514645257,1.3160236962062417
2024-08-30,1.0253579514645257,1.3144697724993468
2024-09-03,1.0253579514645257,1.3166782686890508
2024-09-04,1.0253579514645257,1.3266920550564105
2024-09-05,1.0253579514645257,1.3172533421753139
2024-09-06,1.0253579514645257,1.3216223210224822
2024-09-09,1.0253579514645257,1.3271423751648708
2024-09-10,1.0253579514645257,1.3270541095864692
2024-09-11,1.0253579514645257,1.3478792467657525
2024-09-12,1.0253579514645257,1.3628435765261224
2024-09-13,1.0253579514645257,1.3615568389100448
2024-09-16,1.0253579514645257,1.3530487745846473
2024-09-17,1.0253579514645257,1.354591912156732
2024-09-18,1.0253579514645257,1.3624235673593525
2024-09-19,1.0253579514645257,1.3779479163336397
2024-09-20,1.0253579514645257,1.3793111286558781
2024-09-23,1.0253579514645257,1.393491442119709
2024-09-24,1.0253579514645257,1.3978300467271783
2024-09-25,1.0253579514645257,1.4044034930526952
2024-09-26,1.0253579514645257,1.3908212549930543
2024-09-30,1.0253579514645257,1.409146781721025
2024-10-01,1.0253579514645257,1.3992224420756838
2024-10-02,1.0253579514645257,1.405303748458634
2024-10-03,1.0253579514645257,1.4008246547501497
2024-10-04,1.0253579514645257,1.4006019345591716
2024-10-07,1.0253579514645257,1.3837710048028056
2024-10-08,1.0253579514645257,1.3781954095018625
2024-10-09,1.0253579514645257,1.3863726282215905
2024-10-10,1.0253579514645257,1.4060103263723385
2024-10-11,1.0253579514645257,1.4045351154515873
2024-10-14,1.0253579514645257,1.4097398640363759
2024-10-15,1.0253579514645257,1.4165438487460233
2024-10-16,1.0253579514645257,1.425262949975878
2024-10-17,1.0253579514645257,1.4375338129195423
2024-10-18,1.0253579514645257,1.4427690858723343
2024-10-21,1.0253579514645257,1.4540313313795603
2024-10-22,1.0253579514645257,1.4384211806518983
2024-10-23,1.0253579514645257,1.449001860852587
2024-10-24,1.0253579514645257,1.4524261674902283
2024-10-25,1.0253579514645257,1.453835086911762
2024-10-28,1.0253579514645257,1.4673649760587288
2024-10-29,1.0253579514645257,1.477781663344442
2024-10-30,1.0253579514645257,1.4511744863034306
2024-10-31,1.0253579514645257,1.4513748458418967
2024-11-01,1.0253579514645257,1.450775864976229
2024-11-04,1.0253579514645257,1.4533291979616862
2024-11-05,1.0253579514645257,1.4141639939741757
2024-11-06,1.0253579514645257,1.4327858150238064
2024-11-07,1.0253579514645257,1.4279331508012638
2024-11-08,1.0253579514645257,1.3886520321592877
2024-11-11,1.0211245762154544,1.3829187317697804
2024-11-12,1.0211245762154544,1.3726869523760903
2024-11-13,1.0211245762154544,1.3664334128633373
2024-11-14,1.0211245762154544,1.36592475876756
2024-11-15,1.0211245762154544,1.3898895330755354
2024-11-18,1.0211245762154544,1.3973661473731018
2024-11-19,1.0211245762154544,1.4085742274175577
2024-11-20,1.0211245762154544,1.4210425698554634
2024-11-21,1.0211245762154544,1.4429413524360335
2024-11-22,1.0211245762154544,1.3925059251673442
2024-11-25,1.0211245762154544,1.3934024437684605
2024-11-26,1.0211245762154544,1.4031862423800354
2024-11-27,1.0211245762154544,1.4144941932495834
2024-11-29,1.0211245762154544,1.4041469477556052
2024-12-02,1.0211245762154544,1.4123712679894644
2024-12-03,1.0211245762154544,1.4163279031039633
2024-12-04,1.0211245762154544,1.4022070215592013
2024-12-05,1.0211245762154544,1.4082273909858638
2024-12-06,1.0211245762154544,1.4219647213378515
2024-12-09,1.0211245762154544,1.4424954776296668
2024-12-10,1.0211245762154544,1.4623128517038317
2024-12-11,1.0211245762154544,1.4372606739294382
2024-12-12,1.008943189162546,1.4201150396230475
2024-12-13,1.008943189162546,1.417033826661233
2024-12-16,1.008943189162546,1.415214184303054
2024-12-17,1.008943189162546,1.4109547958875015
2024-12-18,1.008943189162546,1.3913329140008537
2024-12-19,1.0245182584323285,1.412810938478008
2024-12-20,1.0245182584323285,1.3984912530416382
2024-12-23,1.0245182584323285,1.4051546134295874
2024-12-24,1.0245182584323285,1.4204677030707906
2024-12-26,1.0245182584323285,1.406325025806333
2024-12-27,1.0245182584323285,1.402415316754452
2024-12-30,1.0245182584323285,1.421483879417903
2024-12-31,1.0245182584323285,1.4375261502945536
2025-01-02,1.0245182584323285,1.430316312215827
2025-01-03,1.0245182584323285,1.4259989994926403
2025-01-06,1.0245182584323285,1.4345787770971663
2025-01-07,1.0245182584323285,1.4409031994517283
2025-01-08,1.0245182584323285,1.4530485323870221
2025-01-09,1.0245182584323285,1.4666347666488972
2025-01-10,1.0245182584323285,1.4521981728435809
2025-01-13,1.0245182584323285,1.4621768834270326
2025-01-14,1.0245182584323285,1.4793210294052135
2025-01-15,1.0245182584323285,1.4960020486582244
2025-01-16,1.0245182584323285,1.497886691573187
2025-01-17,1.0245182584323285,1.4968685194925964
2025-01-21,1.0245182584323285,1.5079145774566336
2025-01-22,1.0245182584323285,1.5058250744932928
2025-01-23,1.0245182584323285,1.5129948356187097
2025-01-24,1.0245182584323285,1.487220624623602
2025-01-27,1.0386718762927594,1.507766429661067
2025-01-28,1.0386718762927594,1.5110477845302737
2025-01-29,1.0386718762927594,1.5414562985094533
2025-01-30,1.0386718762927594,1.5358363930665704
2025-01-31,1.0386718762927594,1.5458613194064057
2025-02-03,1.0386718762927594,1.5634461517021367
2025-02-04,1.0386718762927594,1.5768523543456143
2025-02-05,1.0386718762927594,1.5719579449014194
2025-02-06,1.0386718762927594,1.5827711625457446
2025-02-07,1.0386718762927594,1.6073342792922058
2025-02-10,1.0386718762927594,1.6059192686497725
2025-02-11,1.0386718762927594,1.591542984460559
2025-02-12,1.0386718762927594,1.6019470698877145
2025-02-13,1.0386718762927594,1.5766086388708556
2025-02-14,1.0386718762927594,1.6047131651817452
2025-02-18,1.0386718762927594,1.5986311271102525
2025-02-19,1.0386718762927594,1.6096447606503135
2025-02-20,1.0386718762927594,1.6005254661845816
2025-02-21,1.0386718762927594,1.6075900897531565
2025-02-24,1.0386718762927594,1.586864226043009
2025-02-25,1.0386718762927594,1.6007736934299628
2025-02-26,1.0386718762927594,1.5838054268721342
2025-02-27,1.0386718762927594,1.561263334307544
2025-02-28,1.0386718762927594,1.5931478644144486
2025-03-03,1.0386718762927594,1.601377188528402
2025-03-04,1.0386718762927594,1.6024456004883814
2025-03-05,1.0386718762927594,1.5971365504625379
2025-03-06,1.0386718762927594,1.5950043947455486
2025-03-07,1.0386718762927594,1.5864794905201427
2025-03-10,1.0386718762927594,1.6036615463772086
2025-03-11,1.0386718762927594,1.6152146895172468
2025-03-12,1.0386718762927594,1.6426972463387806
2025-03-13,1.0386718762927594,1.64041369207979
2025-03-14,1.0386718762927594,1.6437462947874173
2025-03-17,1.0386718762927594,1.6625457720430115
2025-03-18,1.0386718762927594,1.6564729917635865
2025-03-19,1.0386718762927594,1.6541310084059335
2025-03-20,1.0386718762927594,1.6422501101725628
2025-03-21,1.0386718762927594,1.6328460159026053
2025-03-24,1.0386718762927594,1.6299215009647132
2025-03-25,1.0386718762927594,1.6295221621813574
2025-03-26,1.0386718762927594,1.6604607659957047
2025-03-27,1.0386718762927594,1.6669406482264548
2025-03-28,1.0386718762927594,1.6834732631122262
2025-03-31,1.0386718762927594,1.6799810022400226
2025-04-01,1.0386718762927594,1.6941024999387777
2025-04-02,1.0386718762927594,1.671758464033377
2025-04-03,1.0386718762927594,1.6188842344768057
